filename,text,backend,duration,success,error
elevenlabs_0000_1776890111.wav,Please verify the last four digits of your phone number on file.,elevenlabs,3.622,True,
elevenlabs_0001_1776890112.wav,The new software update includes several important security patches.,elevenlabs,3.994,True,
elevenlabs_0002_1776890112.wav,Recurrent neural networks are designed to process sequential data streams.,elevenlabs,4.226,True,
elevenlabs_0003_1776890113.wav,I need to cancel my subscription before the next billing cycle begins.,elevenlabs,4.133,True,
elevenlabs_0004_1776890113.wav,The mountain trail is approximately seven miles long and moderately difficult.,elevenlabs,4.505,True,
elevenlabs_0005_1776890113.wav,Audio preprocessing ensures consistent input quality for model inference.,elevenlabs,4.969,True,
elevenlabs_0006_1776890114.wav,Please state your full legal name as it appears on your identification.,elevenlabs,3.947,True,
elevenlabs_0007_1776890114.wav,The bakery on Elm Street makes the best sourdough bread in town.,elevenlabs,3.808,True,
elevenlabs_0008_1776890115.wav,Transfer learning allows models to leverage knowledge from related tasks.,elevenlabs,4.133,True,
elevenlabs_0009_1776890115.wav,I would like to add an authorized user to my credit card account.,elevenlabs,3.622,True,
elevenlabs_0010_1776890116.wav,The river flows gently through the valley toward the distant ocean.,elevenlabs,3.529,True,
elevenlabs_0011_1776890116.wav,Feature extraction transforms raw audio into meaningful numerical representations.,elevenlabs,5.573,True,
elevenlabs_0012_1776890117.wav,Please say yes or no to confirm your appointment for tomorrow afternoon.,elevenlabs,3.947,True,
elevenlabs_0013_1776890117.wav,The football game starts at one PM Eastern time this Sunday.,elevenlabs,3.576,True,
elevenlabs_0014_1776890118.wav,Generative adversarial networks can create highly realistic synthetic media.,elevenlabs,4.83,True,
elevenlabs_0015_1776890118.wav,I am requesting a replacement card be sent to my current mailing address.,elevenlabs,3.808,True,
elevenlabs_0016_1776890118.wav,The autumn leaves turned brilliant shades of orange red and gold.,elevenlabs,3.762,True,
elevenlabs_0017_1776890119.wav,Whisper is an automatic speech recognition model developed by OpenAI.,elevenlabs,4.505,True,
elevenlabs_0018_1776890119.wav,Please provide the three digit security code on the back of your card.,elevenlabs,3.901,True,
elevenlabs_0019_1776890119.wav,The grocery store on Pine Avenue is open twenty four hours a day.,elevenlabs,3.715,True,
elevenlabs_0020_1776890120.wav,Batch normalization helps stabilize and accelerate neural network training.,elevenlabs,4.598,True,
elevenlabs_0021_1776890120.wav,I need to file a claim for the damaged package I received yesterday.,elevenlabs,3.576,True,
elevenlabs_0022_1776890121.wav,The lighthouse stands tall on the rocky cliff overlooking the sea.,elevenlabs,3.576,True,
elevenlabs_0023_1776890121.wav,Prosody analysis examines the rhythm and intonation patterns of speech.,elevenlabs,4.087,True,
elevenlabs_0024_1776890122.wav,Please hold the line while I look up your account information.,elevenlabs,3.204,True,
elevenlabs_0025_1776890122.wav,The jazz festival downtown features performers from around the world.,elevenlabs,3.808,True,
elevenlabs_0026_1776890123.wav,Data augmentation increases the effective size of training datasets.,elevenlabs,4.087,True,
elevenlabs_0027_1776890123.wav,I would like to close my savings account and transfer the remaining balance.,elevenlabs,4.04,True,
elevenlabs_0028_1776890124.wav,The snow covered mountains glistened under the bright morning sunlight.,elevenlabs,3.715,True,
elevenlabs_0029_1776890124.wav,Jitter and shimmer measurements reveal micro perturbations in vocal production.,elevenlabs,4.505,True,
elevenlabs_0030_1776890125.wav,Please spell your last name using the NATO phonetic alphabet.,elevenlabs,3.529,True,
elevenlabs_0031_1776890125.wav,The bookstore is having a clearance sale this entire weekend only.,elevenlabs,3.669,True,
elevenlabs_0032_1776890125.wav,Dropout regularization prevents neural networks from overfitting to training data.,elevenlabs,5.294,True,
elevenlabs_0033_1776890126.wav,I confirm my identity and authorize access to my financial records.,elevenlabs,3.901,True,
elevenlabs_0034_1776890126.wav,The garden bloomed with roses tulips and sunflowers in the spring.,elevenlabs,4.04,True,
elevenlabs_0035_1776890127.wav,Liveness detection ensures the speaker is physically present during verification.,elevenlabs,4.644,True,
elevenlabs_0036_1776890127.wav,Please repeat the following number sequence seven four two nine one.,elevenlabs,3.994,True,
elevenlabs_0037_1776890128.wav,The subway runs every ten minutes during peak commuting hours.,elevenlabs,3.622,True,
elevenlabs_0038_1776890128.wav,Gradient descent optimizes model parameters by minimizing the loss function.,elevenlabs,4.876,True,
elevenlabs_0039_1776890128.wav,I am calling to inquire about the interest rate on a new mortgage.,elevenlabs,3.622,True,
elevenlabs_0040_1776890129.wav,The ocean waves crashed rhythmically against the sandy shoreline at dusk.,elevenlabs,4.272,True,
elevenlabs_0041_1776890129.wav,Equal error rate is a key metric for evaluating biometric systems.,elevenlabs,4.319,True,
elevenlabs_0042_1776890130.wav,Please confirm your email address so we can send a verification code.,elevenlabs,4.04,True,
elevenlabs_0043_1776890130.wav,The art gallery features a new collection of contemporary paintings.,elevenlabs,3.529,True,
elevenlabs_0044_1776890131.wav,Cross entropy loss is commonly used for binary classification problems.,elevenlabs,4.319,True,
elevenlabs_0045_1776890131.wav,I need to update the beneficiary information on my insurance policy.,elevenlabs,3.901,True,
elevenlabs_0046_1776890131.wav,The campfire crackled softly as we sat beneath the starry night sky.,elevenlabs,3.901,True,
elevenlabs_0047_1776890132.wav,Autocorrelation methods can extract fundamental frequency from speech signals.,elevenlabs,4.644,True,
