filename,text,backend,duration,success,error
gtts_0000_1776888462.wav,The quick brown fox jumps over the lazy dog.,gtts,3.48,True,
gtts_0001_1776888463.wav,Please verify your identity by speaking this phrase clearly.,gtts,4.272,True,
gtts_0002_1776888464.wav,My account number ends in four eight two one.,gtts,3.216,True,
gtts_0003_1776888464.wav,Transfer five thousand dollars to my savings account.,gtts,3.72,True,
gtts_0004_1776888464.wav,I authorize this transaction for immediate payment.,gtts,3.696,True,
gtts_0005_1776888465.wav,The weather today is sunny with clear skies ahead.,gtts,3.384,True,
gtts_0006_1776888465.wav,Security is the foundation of modern digital trust systems.,gtts,4.44,True,
gtts_0007_1776888465.wav,Please confirm your date of birth for identity verification.,gtts,4.104,True,
gtts_0008_1776888465.wav,I would like to reset my password immediately please.,gtts,3.72,True,
gtts_0009_1776888466.wav,The meeting is scheduled for three thirty in the afternoon.,gtts,3.648,True,
gtts_0010_1776888466.wav,Good morning I am calling to check my account balance.,gtts,3.6,True,
gtts_0011_1776888466.wav,Can you please transfer funds to account number seven nine three.,gtts,4.176,True,
gtts_0012_1776888472.wav,I need to verify my identity before proceeding further.,gtts,4.104,True,
gtts_0013_1776888473.wav,The stock market closed higher today after a volatile session.,gtts,4.248,True,
gtts_0014_1776888473.wav,Please read the following sentence for voice verification purposes.,gtts,4.68,True,
gtts_0015_1776888474.wav,My name is John and I am calling from New York City.,gtts,4.08,True,
gtts_0016_1776888474.wav,The temperature outside is currently seventy two degrees Fahrenheit.,gtts,4.44,True,
gtts_0017_1776888474.wav,I confirm that I authorize this wire transfer of ten thousand dollars.,gtts,5.328,True,
gtts_0018_1776888475.wav,Artificial intelligence is transforming the field of cybersecurity.,gtts,4.896,True,
gtts_0019_1776888475.wav,Please say the following words to complete your authentication.,gtts,3.984,True,
gtts_0020_1776888475.wav,The train departs from platform nine at exactly four fifteen.,gtts,4.512,True,
gtts_0021_1776888475.wav,I would like to schedule an appointment for next Tuesday morning.,gtts,3.84,True,
gtts_0022_1776888476.wav,Voice biometrics provide a convenient layer of security for users.,gtts,4.992,True,
gtts_0023_1776888476.wav,The restaurant on Main Street serves excellent Italian cuisine.,gtts,4.368,True,
gtts_0024_1776888476.wav,Please hold while I transfer you to the next available agent.,gtts,4.008,True,
gtts_0025_1776888477.wav,Deep learning models can detect subtle patterns in audio signals.,gtts,4.632,True,
gtts_0026_1776888477.wav,My social security number ends in the digits five six seven eight.,gtts,5.04,True,
gtts_0027_1776888477.wav,The flight from Chicago to Los Angeles departs at noon tomorrow.,gtts,4.488,True,
gtts_0028_1776888477.wav,I agree to the terms and conditions of this financial transaction.,gtts,4.536,True,
gtts_0029_1776888478.wav,Neural networks process information in layers of increasing complexity.,gtts,5.112,True,
gtts_0030_1776888478.wav,The library closes at nine PM on weekdays and six PM on weekends.,gtts,5.856,True,
gtts_0031_1776888478.wav,Please repeat after me the sky is blue and the grass is green.,gtts,4.68,True,
gtts_0032_1776888478.wav,Convolutional neural networks excel at recognizing visual patterns.,gtts,5.184,True,
gtts_0033_1776888479.wav,I need to update my billing address to one two three Oak Avenue.,gtts,4.704,True,
gtts_0034_1776888479.wav,The concert begins at eight o clock sharp in the main auditorium.,gtts,4.8,True,
gtts_0035_1776888479.wav,Voice cloning technology has advanced significantly in recent years.,gtts,5.04,True,
gtts_0036_1776888479.wav,Please confirm that you wish to proceed with this account change.,gtts,4.032,True,
gtts_0037_1776888480.wav,The hospital is located on the corner of Fifth and Broadway streets.,gtts,5.016,True,
gtts_0038_1776888480.wav,Machine learning algorithms require large datasets for effective training.,gtts,5.16,True,
gtts_0039_1776888481.wav,I would like to dispute a charge on my most recent credit card statement.,gtts,5.016,True,
gtts_0040_1776888481.wav,The sun rises in the east and sets in the west every single day.,gtts,5.04,True,
gtts_0041_1776888481.wav,Spectral analysis reveals hidden patterns in audio frequency data.,gtts,4.92,True,
gtts_0042_1776888482.wav,Please enter your four digit pin followed by the pound sign.,gtts,4.032,True,
gtts_0043_1776888482.wav,The museum exhibit on ancient Egypt opens this coming Saturday morning.,gtts,4.896,True,
gtts_0044_1776888482.wav,Zero trust architecture assumes no implicit trust in any system.,gtts,5.064,True,
gtts_0045_1776888482.wav,I am calling to report unauthorized activity on my bank account.,gtts,4.416,True,
gtts_0046_1776888483.wav,The children played happily in the park until the sun went down.,gtts,4.536,True,
gtts_0047_1776888483.wav,Mel spectrograms convert audio waveforms into visual representations.,gtts,5.592,True,
